step,loss,learning_rate,grad_norm
10,0.38139364719390867,2.2499999999999998e-05,1.045696496963501
20,0.16246863603591918,4.75e-05,2.4439144134521484
30,0.13945984840393066,7.25e-05,0.8627250790596008
40,0.12902809381484986,9.750000000000001e-05,0.5652086138725281
50,0.12327152490615845,0.0001225,0.7565387487411499
60,0.12232619524002075,0.0001475,1.1409008502960205
70,0.11806331872940064,0.0001725,0.8555711507797241
80,0.11717127561569214,0.0001975,0.7244423031806946
90,0.11830514669418335,0.00022250000000000001,0.7512286305427551
100,0.11419470310211181,0.0002475,0.9343634843826294
110,0.11134557723999024,0.00024991892657579224,1.3646243810653687
120,0.11158342361450195,0.0002496388077788294,1.011019229888916
130,0.11254048347473145,0.000249159091180732,8.30324935913086
140,0.11396901607513428,0.00024848054500433396,0.5734068155288696
150,0.10348526239395142,0.0002476042558800934,0.3989114761352539
160,0.10014008283615113,0.00024653162710595145,0.359882116317749
170,0.10905479192733765,0.00024526437640007775,0.5646414160728455
180,0.09630728363990784,0.00024380453315009948,0.5396731495857239
190,0.0931809663772583,0.00024215443516322044,0.3909294903278351
200,0.10226584672927856,0.00024031672492243376,1.07021164894104
210,0.1034319519996643,0.00023829434535482385,0.5898921489715576
220,0.09091660976409913,0.00023609053511873432,0.925397515296936
230,0.10909204483032227,0.00023370882341734907,0.41356897354125977
240,0.10177979469299317,0.0002311530243469917,0.7484710812568665
250,0.10487973690032959,0.0002284272307891947,0.6470258235931396
260,0.11758162975311279,0.00022553580785631894,0.8733236789703369
270,0.1258586525917053,0.0002224833859012203,0.5009040236473083
280,0.12362205982208252,0.0002192748531021575,0.25329774618148804
290,0.1268545389175415,0.0002159153476348157,0.2886640727519989
300,0.1281358003616333,0.00021241024944398202,0.1105981096625328
310,0.12391270399093628,0.00020876517162804947,0.18204107880592346
320,0.11836153268814087,0.0002049859514501466,0.21118760108947754
330,0.1286368727684021,0.00020107864099028718,0.3355664610862732
340,0.1231503963470459,0.0001970494974535107,0.2601805031299591
350,0.12220889329910278,0.0001929049731495329,0.14700216054916382
360,0.12291676998138427,0.00018865170515995437,0.11080117523670197
370,0.12111783027648926,0.00018429650470957323,0.15142430365085602
380,0.11429662704467773,0.0001798463462588235,0.11588176339864731
390,0.12283446788787841,0.00017530835633480625,0.14121779799461365
400,0.11576952934265136,0.00017068980211879935,0.21208608150482178
410,0.11496915817260742,0.0001659980798085231,0.1341726928949356
420,0.11890462636947632,0.0001612407027737966,0.1207910105586052
430,0.12032703161239625,0.00015642528952455447,0.11998002231121063
440,0.12092537879943847,0.0001515595515104907,0.253255158662796
450,0.12215436697006225,0.00014665128077186794,0.16505421698093414
460,0.11857266426086426,0.00014170833746126837,0.2049601972103119
470,0.12201727628707885,0.00013673863725626882,0.19045080244541168
480,0.12145212888717652,0.00013175013868319734,0.11386345326900482
490,0.11546307802200317,0.00012675083037227188,0.16331340372562408
500,0.10778108835220337,0.00012174871826452994,0.2604464590549469
510,0.11002765893936158,0.00011675181279103644,0.16631917655467987
520,0.11411564350128174,0.00011176811604490158,0.2043476551771164
530,0.11095561981201171,0.00010680560896665085,0.19247221946716309
