step,loss,learning_rate,grad_norm
10,0.44046764373779296,2.2499999999999998e-05,1.7331783771514893
20,0.14715304374694824,4.75e-05,0.8578859567642212
30,0.1217150330543518,7.25e-05,1.585392713546753
40,0.11456718444824218,9.750000000000001e-05,1.795681357383728
50,0.10954233407974243,0.0001225,1.008449673652649
60,0.10737264156341553,0.0001475,1.1775953769683838
70,0.08923410177230835,0.0001725,1.3361949920654297
80,0.09033529162406921,0.0001975,1.6828378438949585
90,0.0834832489490509,0.00022250000000000001,1.0998529195785522
100,0.07457156777381897,0.0002475,0.7258943915367126
110,0.07515261173248292,0.0002498635181233847,2.0711536407470703
120,0.08136079907417297,0.0002493921115418493,1.0360735654830933
130,0.07321703433990479,0.00024858536581982957,0.7589616179466248
140,0.0758370041847229,0.00024744545580116135,0.6609950661659241
150,0.06663566827774048,0.0002459754544817215,1.7693113088607788
160,0.06099863052368164,0.0002441793247251746,2.0530762672424316
170,0.06950348019599914,0.0002420619085797927,0.923771858215332
180,0.06840616464614868,0.00023962891422514955,0.4040670394897461
190,0.06377049684524536,0.00023688690058387758,0.7828789353370667
200,0.06303861737251282,0.00023384325963997216,0.612555742263794
210,0.058513599634170535,0.00023050619651130943,0.45611923933029175
220,0.051627224683761595,0.00022688470733009944,5.892471790313721
230,0.062417876720428464,0.00022298855499090393,0.603249192237854
240,0.059619474411010745,0.00021882824283159878,0.5485449433326721
250,0.058635002374649046,0.00021441498631823215,1.1059061288833618
260,0.06323148012161255,0.00020976068281011061,0.26945948600769043
270,0.05687758922576904,0.00020487787948662227,0.6698349714279175
280,0.05903775095939636,0.00019977973952225902,0.49539318680763245
290,0.053274184465408325,0.0001944800066010257,0.991113007068634
300,0.05183823704719544,0.00018899296786589764,0.4339105188846588
310,0.047308579087257385,0.00018333341540320921,0.5303403735160828
320,0.057230085134506226,0.00017751660636580423,0.37929317355155945
330,0.046792855858802794,0.00017155822184244945,0.5788666009902954
340,0.05332984328269959,0.0001654743245843915,1.0438779592514038
350,0.0510635495185852,0.0001592813157030193,0.49664410948753357
360,0.04649602770805359,0.00015299589045536765,0.4729827642440796
370,0.042615047097206114,0.0001466349932366559,0.6173741221427917
380,0.047639858722686765,0.00014021577190119396,0.4096115231513977
390,0.04924674034118652,0.00013375553153479914,0.9483585357666016
400,0.039829084277153017,0.0001272716878033438,0.5610981583595276
410,0.04547320306301117,0.00012078172000319973,0.7372260093688965
420,0.04628580212593079,0.00011430312394014507,0.986318051815033
430,0.048378738760948184,0.0001078533647637652,0.5420833826065063
440,0.03209933042526245,0.00010144982988449757,0.6428428292274475
450,0.03508760929107666,9.510978210024661e-05,1.1060562133789062
460,0.038174557685852054,8.885031305893326e-05,0.7666351795196533
470,0.035892927646636964,8.268829718243345e-05,1.5476778745651245
480,0.03897119164466858,7.664034617612037e-05,2.998917818069458
490,0.03159653842449188,7.072276424664345e-05,0.8139417171478271
500,0.029787236452102663,6.495150414867014e-05,1.046167016029358
510,0.03621434271335602,5.9342124179079246e-05,0.5017989873886108
520,0.03432810306549072,5.3909746234543656e-05,0.4520743489265442
530,0.04412027597427368,4.866901504557022e-05,1.0550963878631592
540,0.03723374009132385,4.363405869689552e-05,1.2149368524551392
550,0.030923381447792053,3.881845054066703e-05,0.6373024582862854
560,0.03462536334991455,3.423517260508582e-05,1.204406499862671
570,0.03001062572002411,2.9896580597153487e-05,0.6280933618545532
580,0.02865847945213318,2.5814370593870567e-05,1.0408397912979126
590,0.02712549567222595,2.1999547511680708e-05,0.8273109793663025
600,0.02441904544830322,1.8462395439161868e-05,0.6895533204078674
610,0.02575960159301758,1.5212449912941309e-05,0.839555025100708
620,0.02160259336233139,1.2258472211575042e-05,1.989514946937561
630,0.02677353024482727,9.60842573668963e-06,1.4398193359375
640,0.027136397361755372,7.269454545059423e-06,0.8010920882225037
650,0.024737447500228882,5.247864089492405e-06,0.6398919820785522
660,0.02858550250530243,3.5491042204443824e-06,1.0974702835083008
670,0.027267614006996156,2.177754494185544e-06,2.1026241779327393
680,0.027712836861610413,1.137511827126486e-06,1.293972373008728
690,0.023617003858089448,4.3118052958515676e-07,0.7974199652671814
700,0.02472652345895767,6.06647458619991e-08,0.6568677425384521
