step,loss,learning_rate,grad_norm
10,0.3898211717605591,2.2499999999999998e-05,1.0423728227615356
20,0.1699517011642456,4.75e-05,1.9396578073501587
30,0.1391894817352295,7.25e-05,0.7585786581039429
40,0.13174487352371217,9.750000000000001e-05,1.700454831123352
50,0.12092504501342774,0.0001225,1.6303048133850098
60,0.12028629779815674,0.0001475,0.43874606490135193
70,0.1180909514427185,0.0001725,0.6006220579147339
80,0.11690559387207031,0.0001975,0.5431257486343384
90,0.11628990173339844,0.00022250000000000001,0.6238309741020203
100,0.11003255844116211,0.0002475,0.8716073632240295
110,0.11571663618087769,0.00024991892657579224,0.24633382260799408
120,0.10975464582443237,0.0002496388077788294,0.4566866457462311
130,0.11146690845489501,0.000249159091180732,0.538713276386261
140,0.10670335292816162,0.00024848054500433396,0.2943129539489746
150,0.10729256868362427,0.0002476042558800934,0.5485095381736755
160,0.10585041046142578,0.00024653162710595145,0.5671024918556213
170,0.11191878318786622,0.00024526437640007775,0.3749420940876007
180,0.10412492752075195,0.00024380453315009948,0.8541266918182373
190,0.09372694492340088,0.00024215443516322044,0.5251469612121582
200,0.10699236392974854,0.00024031672492243376,0.8400719165802002
210,0.11298705339431762,0.00023829434535482385,1.201693058013916
220,0.11485495567321777,0.00023609053511873432,0.4782603085041046
230,0.109996497631073,0.00023370882341734907,0.33684679865837097
240,0.11311038732528686,0.0002311530243469917,0.29567214846611023
250,0.1036240816116333,0.0002284272307891947,0.29726219177246094
260,0.10426983833312989,0.00022553580785631894,0.4403696656227112
270,0.0948706567287445,0.0002224833859012203,0.3851475715637207
280,0.09738415479660034,0.0002192748531021575,0.3377188444137573
290,0.10113396644592285,0.0002159153476348157,0.6335523724555969
300,0.10100094079971314,0.00021241024944398202,0.3409959375858307
310,0.0976256012916565,0.00020876517162804947,0.3441479504108429
320,0.1025270700454712,0.0002049859514501466,0.495002806186676
330,0.10459038019180297,0.00020107864099028718,0.4938866198062897
340,0.10360931158065796,0.0001970494974535107,0.41227999329566956
350,0.09513277411460877,0.0001929049731495329,0.2485922873020172
360,0.09723328948020935,0.00018865170515995437,0.4036474823951721
370,0.09173663854598998,0.00018429650470957323,0.34841352701187134
380,0.08785017728805541,0.0001798463462588235,0.3553341329097748
390,0.09683517217636109,0.00017530835633480625,0.48546934127807617
400,0.09326172471046448,0.00017068980211879935,0.3339364230632782
410,0.09066447019577026,0.0001659980798085231,0.45829883217811584
420,0.09436728358268738,0.0001612407027737966,0.23791801929473877
430,0.09520282745361328,0.00015642528952455447,0.4317760765552521
440,0.09453756213188172,0.0001515595515104907,0.35248860716819763
450,0.08941978216171265,0.00014665128077186794,0.3920990526676178
460,0.09247198104858398,0.00014170833746126837,0.32990413904190063
470,0.08379983305931091,0.00013673863725626882,0.32756075263023376
480,0.09434495568275451,0.00013175013868319734,0.25929588079452515
490,0.09310466647148133,0.00012675083037227188,0.3651522397994995
500,0.08210554718971252,0.00012174871826452994,0.3733291029930115
510,0.08556029796600342,0.00011675181279103644,0.5631172060966492
520,0.08914773464202881,0.00011176811604490158,0.4872623383998871
530,0.09223533868789673,0.00010680560896665085,0.37455499172210693
540,0.07459153532981873,0.00010187223856346911,0.36967989802360535
550,0.08049660921096802,9.697590518278594e-05,0.3453100323677063
560,0.08196597695350646,9.21244498605822e-05,0.4846261441707611
570,0.08915432691574096,8.732564176467867e-05,0.4189155399799347
580,0.08241460323333741,8.258716575311496e-05,0.42002367973327637
590,0.07671108245849609,7.791661006754302e-05,0.4065650403499603
600,0.078942209482193,7.332145418134306e-05,0.37628045678138733
610,0.08180190324783325,6.880905682192188e-05,0.4009993374347687
620,0.0812982976436615,6.438664418637521e-05,0.33586782217025757
630,0.07747182846069336,6.006129836938523e-05,0.3621138334274292
640,0.07759502530097961,5.5839946021885176e-05,0.5690231919288635
650,0.07462203502655029,5.172934725865304e-05,0.43040210008621216
660,0.0753177285194397,4.773608483259788e-05,0.6377837061882019
670,0.08063069581985474,4.386655359307517e-05,0.3603302240371704
680,0.07755731344223023,4.0126950245112816e-05,0.3780946135520935
690,0.07571305632591248,3.652326342594717e-05,0.4462895393371582
700,0.07629048824310303,3.306126411476133e-05,0.33426591753959656
710,0.07072128653526306,2.9746496390982466e-05,0.31466197967529297
720,0.060262054204940796,2.658426855593929e-05,0.4211583733558655
730,0.06503062248229981,2.3579644632096457e-05,0.3671059310436249
740,0.06593910455703736,2.073743625347971e-05,0.7424384355545044
750,0.0649100124835968,1.806219496027822e-05,0.5901647210121155
760,0.06076452136039734,1.5558204909963847e-05,0.6555519700050354
770,0.06902164220809937,1.3229476016599586e-05,0.39698129892349243
780,0.061243975162506105,1.107973752932409e-05,0.620877742767334
790,0.0662721037864685,9.112432060295814e-06,0.443830668926239
800,0.06837818622589112,7.330710071660363e-06,0.6220558881759644
810,0.06735740900039673,5.737424830369653e-06,0.576198399066925
820,0.06422923803329468,4.335127838932501e-06,0.5586925148963928
830,0.0645605206489563,3.1260647494135985e-06,0.5221487283706665
840,0.06287761926651,2.112171767224419e-06,0.8701813817024231
850,0.06694966554641724,1.2950725504649875e-06,0.8831486105918884
860,0.06623218059539795,6.760756097820703e-07,0.6956712603569031
870,0.06519756317138672,2.561722129073435e-07,0.5337339639663696
880,0.0682478129863739,3.6034797231715434e-08,1.1615629196166992
