step,loss,learning_rate,grad_norm
10,0.3988236427307129,2.2499999999999998e-05,1.3114264011383057
20,0.16435593366622925,4.75e-05,1.1487210988998413
30,0.14319415092468263,7.25e-05,0.8218479752540588
40,0.13495221138000488,9.750000000000001e-05,0.8599591851234436
50,0.12865204811096193,0.0001225,1.2690626382827759
60,0.11868687868118286,0.0001475,1.0283489227294922
70,0.11879620552062989,0.0001725,1.3452625274658203
80,0.11165642738342285,0.0001975,0.5551795363426208
90,0.11289852857589722,0.00022250000000000001,0.6595024466514587
100,0.10424685478210449,0.0002475,1.310897946357727
110,0.10559303760528564,0.0002499653037772501,0.9028504490852356
120,0.09351006746292115,0.00024984539094544936,0.9236509203910828
130,0.09770559668540954,0.000249639915318861,0.8589943051338196
140,0.09462778568267823,0.0002493490177202158,0.7591429948806763
150,0.09411476254463196,0.00024897289751619724,0.8362476229667664
160,0.09725574851036071,0.00024851181248080543,0.7665671110153198
170,0.08659231662750244,0.000247966078618692,0.5120654106140137
180,0.09354150891304017,0.000247336069948586,0.7397167682647705
190,0.09127848744392394,0.0002466222182469602,0.549517035484314
200,0.09504175186157227,0.0002458250127521134,0.49191874265670776
210,0.09550118446350098,0.00024494499982887034,0.8382025957107544
220,0.09356396794319152,0.00024398278259413097,0.359958291053772
230,0.08793075084686279,0.0002429390205035242,0.5166774988174438
240,0.09372530579566955,0.00024181442889944984,0.6505208611488342
250,0.08196203708648682,0.00024060977852081872,0.4887329638004303
260,0.0909423828125,0.0002393258949748267,1.0048545598983765
270,0.08686990737915039,0.0002379636581711248,0.3945312201976776
280,0.08498660326004029,0.00023652400171877307,0.8292223215103149
290,0.08582155108451843,0.0002350079122863915,0.4579311013221741
300,0.08231275081634522,0.00023341642892594664,0.7458707690238953
310,0.08761186003684998,0.00023175064236063741,0.6987171769142151
320,0.08595414161682129,0.00023001169423736772,0.45524558424949646
330,0.0829598367214203,0.00022820077634431895,0.48352742195129395
340,0.07983577847480774,0.0002263191297941576,0.5694474577903748
350,0.08302425146102906,0.00022436804417343877,0.5759598016738892
360,0.0786201536655426,0.00022234885665878802,0.4426247477531433
370,0.07952992916107178,0.00022026295110046722,2.9573748111724854
380,0.08113174438476563,0.00021811175707395276,0.40388789772987366
390,0.07413973808288574,0.00021589674890017585,0.4476567804813385
